NoOfChunksRetrieved,Name,Type,Query,Answer,Result,Correctness,RetrievedDocs
12,test_chunk_10__1-2668336-17,hard-coded,The candidates Charles Fisher (DR) 65.1% W. Jones (F) 34.9% is for what incumbent?,"The candidates Charles Fisher (DR) with 65.1% and W. Jones (F) with 34.9% are for the incumbent Charles Fisher. This information is stated directly in the text within the description of North Carolina 10: ""In North Carolina 10, incumbent Charles Fisher from the Democratic-Republican party, first elected in 1819 (special election), was re-elected. The candidates were Charles Fisher (DR) with 65.1% and W. Jones (F) with 34.9%.""",Charles Fisher,TRUE,"test_chunk_10__1-2668336-17.pdf, test_chunk_10__1-2668336-17.pdf, test_chunk_10__1-2668264-22.pdf "
12,test_chunk_10__1-2668336-17,hard-coded,"In district North Carolina 10, what are the candidates?","In North Carolina 10, the candidates were Charles Fisher (DR) with 65.1% and W. Jones (F) with 34.9%.",Charles Fisher (DR) 65.1% W. Jones (F) 34.9%,TRUE,"test_chunk_10__1-2668336-17.pdf, test_chunk_10__1-2668264-22.pdf, test_chunk_10__1-2668243-20.pdf"
12,test_chunk_10__1-2668336-17,hard-coded,Candiates Charles Fisher (DR) 65.1% W. Jones (F) 34.9% had what result?,"Charles Fisher (DR) was re-elected with 65.1% of the vote, while W. Jones (F) received 34.9%.",	Re-elected,TRUE,"test_chunk_10__1-2668336-17.pdf, test_chunk_10__1-2668336-17.pdf, test_chunk_10__1-2668336-19.pdf"
12,test_chunk_10__1-2668336-17,hard-coded,The district North Carolina 10 have what candidates?,"In North Carolina 10, the candidates were Charles Fisher (DR) with 65.1% and W. Jones (F) with 34.9%.",Charles Fisher (DR) 65.1% W. Jones (F) 34.9%,TRUE,"test_chunk_10__1-2668336-17.pdf, test_chunk_10__1-2668243-20.pdf, test_chunk_10__1-2668264-22.pdf"
12,test_chunk_10__1-26609690-1,hard-coded,What is the smallest top 10 figure?,"The smallest Top 10 figure is 0. This appears in the data for the years 2003, 2007, 2008, and 2009. The year 2010 has a Top 10 figure of 1, which is larger than 0.",0,TRUE,"test_chunk_10__1-26631526-1.pdf, test_chunk_10__1-26631526-1.pdf, "
12,test_chunk_10__1-26609690-1,hard-coded,What is the earliest year on the chart?,"The earliest year on the chart is 2003. This is according to the second provided context, which details a driver's racing statistics starting in 2003.",2003,TRUE,"test_chunk_10__1-26631526-1.pdf , test_chunk_10__1-26609690-1.pdf"
12,test_chunk_10__1-26609690-1,hard-coded,"Which team had $15,785 in winnings?","Based on the provided text, the driver with $15,785 in winnings raced for **RB1 Motorsports** in 2003.



The text states: ""In 2003, the driver started 1 races, achieved 0 wins and 0 Top 10 finishes, with an average start of 35.0 and an average finish of 31.0. Total winnings were $15,785, finishing 137th overall, racing for **RB1 Motorsports**.""",RB1 Motorsports,TRUE,"test_chunk_10__1-26631526-1.pdf, test_chunk_10__1-26609690-1.pdf , test_chunk_10__1-26593762-2.pdf"
12,test_chunk_10__1-26609690-1,hard-coded,How many positions are there for RB1 Motorsports?,"Based on the provided text, RB1 Motorsports had 1 driver in 2003. The text states ""In 2003, the driver started 1 races..."" and ""racing for RB1 Motorsports."" Therefore, there was 1 position for RB1 Motorsports.",1,TRUE,"test_chunk_10__1-26631526-1.pdf, test_chunk_10__1-26609690-1.pdf, test_chunk_10__1-26593762-2.pdf"
12,test_chunk_10__1-26609690-1,hard-coded,What is the highest number of wins?,"The highest number of wins is 78.7%, achieved by Christian Tarr in Pennsylvania's 13th District.",0,FALSE,"test_chunk_10__1-26609690-1.pdf, test_chunk_10__1-2655016-9.pdf, test_chunk_10__1-2668336-19.pdf"
12,test_chunk_10__1-26631526-1,hard-coded,Name the release date xbox 360 for sea wolf,"I am sorry, but the provided text does not contain any information about a song or release titled ""Sea Wolf"". Therefore, I cannot provide the Xbox 360 release date for it.","Mar.14,2010",FALSE,"test_chunk_10__1-26631526-1.pdf, test_chunk_10__1-26593762-2.pdf "
12,test_chunk_10__1-2668243-20,hard-coded,What party was represented by incumbent Richard Coulter?,"According to the provided text, incumbent Richard Coulter was from the Jacksonian party. This information is found in the section for Pennsylvania 17: ""In Pennsylvania 17, incumbent Richard Coulter from the Jacksonian party, first elected in 1826, was re-elected. The candidate was Richard Coulter (J) with 100%.""",Jacksonian,TRUE,"test_chunk_10__1-2668336-17.pdf, test_chunk_10__1-2668264-22.pdf,test_chunk_10__1-2668243-20.pdf"
12,test_chunk_10__1-2668336-19,hard-coded,Who were the incumbent(s) in the election featuring john murray (dr) 50.4% george denison (dr) 49.6% with a result of a retired democratic-republican hold?,"The incumbent in the election featuring John Murray (DR) with 50.4% and George Denison (DR) with 49.6%, where a retired Democratic-Republican resulted in a hold, was a Democratic-Republican who had previously held the seat. The text identifies this as a situation where a Democratic-Republican held the seat after a prior Democratic-Republican retired.",William Wilson,FALSE,"test_chunk_10__1-2668336-17.pdf, test_chunk_10__1-2668336-19.pdf, test_chunk_10__1-2668352-19.pdf"
12,test_chunk_10__1-2668336-19,hard-coded,Who were the incumbent(s) when the result was a retired democratic-republican hold and the first elected representative was in 1816>,"Based on the provided text, here's the breakdown:

The event: A retired Democratic-Republican representative resulted in a hold.
The relevant district: Virginia's 7th district.
The retiring incumbent: Hugh Caperton, a Federalist, first elected 1813.
The first elected representative: Philip P. Barbour, a Democratic-Republican, was first elected in 1814 (special election).
Therefore, the answer is Hugh Caperton.",Alexander Ogle,FALSE,"test_chunk_10__1-2668352-19.pdf, test_chunk_10__1-2668336-17.pdf, test_chunk_10__1-2668336-19.pdf"
12,test_chunk_10__1-2668336-19,hard-coded,Who were the candidates in the election where william wilson was the incumbent?,"Based on the provided text, William Wilson was the incumbent in South Carolina 6. The candidates in that election were John Wilson (J) with 50.8% and Warren R. Davis (J) with 49.2%.",John Murray (DR) 50.4% George Denison (DR) 49.6%,FALSE,"test_chunk_10__1-2668243-8.pdf, test_chunk_10__1-2668243-20.pdf, est_chunk_10__1-2668243-8.pdf"
12,test_chunk_10__1-2668352-14,hard-coded,Name the result for pennsylvania 8,"Based on the provided text, in Pennsylvania 8, incumbent John Ewing from the Jacksonian party, first elected in 1826, was re-elected. The candidates were John Ewing (J) with 64.2% and William B. Cannon (AJ) with 35.8%.",Re-selected,TRUE,"test_chunk_10__1-2668243-20.pdf, est_chunk_10__1-26593762-2.pdf, test_chunk_10__1-26593762-2.pdf"
12,test_chunk_10__1-2668352-14,hard-coded,Name the result for 1810.,"The provided text does not contain any information about the year 1810 or any results for it. The provided context details information about football teams and racing statistics within specific years, but does not include any data for 1810. Therefore, I cannot answer your question.",William Piper,FALSE,"test_chunk_10__1-26593762-2.pdf, test_chunk_10__1-26593762-2.pdf, test_chunk_10__1-26609690-1.pdf"
12,test_chunk_10__1-2668352-14,hard-coded,Name the district for hugh glasgow,Hugh Glasgow was in Pennsylvania's 4th district.,Pennsylvania 4,TRUE,"test_chunk_10__1-2668352-14.pdf, test_chunk_10__1-2668352-19.pdf, test_chunk_10__1-26593762-2.pdf"
12,test_chunk_10__1-2668352-14,hard-coded,Name the incumbent for lost re-election democratic-republican hold,"Based on the provided text, here's the incumbent for lost re-election and their party affiliation:

Francis White (Federalist) - Lost re-election in Virginia's 2nd district to Magnus Tate (Federalist).",Daniel Udree,FALSE,"test_chunk_10__1-2668336-17.pdf, test_chunk_10__1-2668352-14.pdf, test_chunk_10__1-2668352-19.pdf"
12,test_chunk_10__1-2668352-14,hard-coded,Name the district for first elected 1810,William was first elected in 1810 in Virginia's 10th district.,Pennsylvania 8,FALSE,"test_chunk_10__1-2668336-19.pdf, test_chunk_10__1-2668352-14.pdf, test_chunk_10__1-2668352-19.pdf"
12,test_chunk_10__1-2668352-19,hard-coded,What party does James Pleasants belong to?,James Pleasants belongs to the Democratic-Republican party.,Democratic-Republican party,TRUE,"test_chunk_10__1-2668243-8.pdf, test_chunk_10__1-2668352-19.pdf"
12,test_chunk_10__1-2668336-19,md,Who were the incumbent(s) in the election featuring john murray (dr) 50.4% george denison (dr) 49.6% with a result of a retired democratic-republican hold?,"The provided context indicates that John Murray and George Denison were the incumbents in the election where John Murray (DR) received 50.4% and George Denison (DR) received 49.6%, and the result was a retired Democratic-Republican hold. They were both Democratic-Republican party members.",William Wilson,FALSE,"test_chunk_10__1-2668336-19.md, test_chunk_10__1-2668336-19.md, test_chunk_10__1-2668336-17.md"
12,test_chunk_10__1-2668336-19,md,Who were the incumbent(s) when the result was a retired democratic-republican hold and the first elected representative was in 1816>,"Based on the provided context, the incumbents in the election with a ""retired Democratic-Republican hold"" result and a first elected representative in 1816 were John G. Jackson and Thomas Newton, Jr.",Alexander Ogle,FALSE,"test_chunk_10__1-2668336-19.md, test_chunk_10__1-2668336-17.md, test_chunk_10__1-2668352-19.md"
12,test_chunk_10__1-2668336-19,md,Who were the candidates in the election where william wilson was the incumbent?,"Based on the provided text, William Wilson was an incumbent in Pennsylvania 10, a plural district with 2 seats. The candidates in that election were John Murray (DR) and George Denison (DR).",John Murray (DR) 50.4% George Denison (DR) 49.6%,TRUE,"test_chunk_10__1-2668336-19.md, test_chunk_10__1-2668243-8.md, test_chunk_10__1-2668352-14.md"
12,test_chunk_10__1-2668352-14,md,Name the result for pennsylvania 8,"The result for Pennsylvania 8 was ""Re-elected"".",Re-selected,TRUE,"test_chunk_10__1-2668336-19.md, test_chunk_10__1-2668243-20.md, test_chunk_10__1-2668352-14.md,"
12,test_chunk_10__1-2668352-14,md,Name the result for 1810.,"""Worst Case Ontario""",William Piper,FALSE,"test_chunk_10__1-2668352-14.md, test_chunk_10__1-26631526-1.md, test_chunk_10__1-26631526-1.md"
12,test_chunk_10__1-2668352-14,md,Name the district for hugh glasgow,"I am sorry, but the provided text does not contain any information about a ""hugh glasgow"" or a district associated with that name. The provided texts focus on Virginia and its congressional districts during a specific historical period.",Pennsylvania 4,FALSE,"test_chunk_10__1-2668352-14.md, test_chunk_10__1-2668352-19.md, test_chunk_10__1-26631526-1.md"
12,test_chunk_10__1-2668352-14,md,Name the incumbent for lost re-election democratic-republican hold,"The incumbent for ""Lost re-election Democratic-Republican hold"" is John G. Jackson, representing Virginia 1, and John W. Eppes, representing Virginia 16.",Daniel Udree,FALSE,"test_chunk_10__1-2668352-14.md, test_chunk_10__1-2668352-19.md, test_chunk_10__1-2668352-19.md"
12,test_chunk_10__1-2668352-14,md,Name the district for first elected 1810,"The district for ""First elected 1810"" is Pennsylvania 8, with William Piper as the incumbent.",Pennsylvania 8,TRUE,"test_chunk_10__1-2668352-14.md, test_chunk_10__1-2668352-19.md, test_chunk_10__1-2668352-19.md"
12,test_chunk_10__1-2668352-19,md,What party does James Pleasants belong to?,"According to the provided text, James Pleasants belongs to the Democratic-Republican party. This is indicated in the table for Virginia 17, where his party is listed as ""Democratic-Republican"".",Democratic-Republican party,TRUE,"test_chunk_10__1-2668352-19.md, test_chunk_10__1-2668243-8.md, test_chunk_10__1-2668243-8.md"
12,test_chunk_10__1-2655016-9,md,"What is the series # on airdate September 21, 2002?","The provided text does not contain any information about air dates in September 2002. It only contains data from June 2010 and June 2002, and beyond.",123,FALSE,"test_chunk_10__1-2655016-9.md, test_chunk_10__1-26631526-1.md, test_chunk_10__1-26631526-1.md"
12,test_chunk_10__1-2655016-9,md,"what is the series number of the ""harry bladder special""?","The provided text does not contain any information about a ""harry bladder special"". Therefore, I cannot determine its series number.",131,FALSE,"test_chunk_10__1-2655016-9.md, test_chunk_10__1-26631526-1.md, test_chunk_10__1-26631526-1.md"
12,test_chunk_10__1-26565917-2,md,what was the name of episode 5?,"""Seven Seconds""",Seven Seconds,TRUE,"test_chunk_10__1-2655016-9.md, test_chunk_10__1-26631526-1.md, test_chunk_10__1-26565917-2.md"
12,test_chunk_10__1-26565917-2,md,when did 14.55 people watch?,"According to the provided text, 14.55 people watched on October 11, 2007.","October 10, 2007",TRUE,"test_chunk_10__1-26631526-1.md, test_chunk_10__1-26565917-2.md, test_chunk_10__1-26631526-1.md"
12,test_chunk_10__1-26593762-2,md,Who is the captain of Cardiff City?,"This is a tricky one! The provided text contains information about football clubs (Cardiff City) and music artists/bands, but it **does not contain the name of the captain of Cardiff City.** 

Therefore, I cannot answer your question using only the information given.",Craig Bellamy,FALSE,"test_chunk_10__1-26593762-2.md, test_chunk_10__1-26631526-1.md, test_chunk_10__1-26631526-1.md"
12,test_chunk_10__1-26593762-2,md,How many kit makers are there for Louis Carey's team?,"This is a trick question! The provided text does not mention Louis Carey or any team he might be associated with, nor does it contain any information about kit makers. Therefore, it's impossible to answer the question based on the given information.",1,FALSE,"test_chunk_10__1-26593762-2.md, test_chunk_10__1-26631526-1.md, test_chunk_10__1-26631526-1.md
"
12,test_chunk_10__1-26593762-2,md,Who is the captain of Neil Warnock's team?,Adel Taylor.,Adel Taarabt,FALSE,"test_chunk_10__1-26593762-2.md, test_chunk_10__1-26631526-1.md,test_chunk_10__1-26609690-1.md"
12,test_chunk_10__1-26593762-2,md,Who is the captain of Dave Jones' team?,Craig Bellamy.,Craig Bellamy,TRUE,"test_chunk_10__1-26593762-2.md, test_chunk_10__1-26631526-1.md, test_chunk_10__1-26609690-1.md"
12,test_chunk_10__1-26593762-2,md,Who is the chairman of Mark Robins team?,Patrick Kevin.,Patrick Cyrne,FALSE,"test_chunk_10__1-26593762-2.md, test_chunk_10__1-26631526-1.md, test_chunk_10__1-26609690-1.md"
12,test_chunk_10__1-2668243-8,md,What was the result for Henry Daniel's race?,"Henry Daniel's race, in Kentucky 1, resulted in him being re-elected with 66.6% of the vote. His opponent, Micajah Harrison, received 33.4%.",Re-elected,TRUE,"test_chunk_10__1-2668243-8.md, test_chunk_10__1-2668336-19.md, test_chunk_10__1-26609690-1.md"
12,test_chunk_10__1-2668243-8,md,When was Henry Daniel first elected?,"According to the provided text, Henry Daniel was first elected in 1827.",1827,TRUE,"test_chunk_10__1-2668243-8.md, test_chunk_10__1-2668352-14.md, test_chunk_10__1-2668336-19.md"
12,test_chunk_10__1-2668243-8,md,How many first elected years are provided for Thomas P. Moore?,"According to the provided text, Thomas P. Moore was first elected in 1822.",1,FALSE,"test_chunk_10__1-2668243-8.md, test_chunk_10__1-2668336-17.md, test_chunk_10__1-2668352-19.md"
12,test_chunk_10__1-2668243-8,md,What district is Joseph Lecompte in office in?,Joseph Lecompte is in office is in Kentucky 6.,Kentucky 6,TRUE,"test_chunk_10__1-2668243-8.md, test_chunk_10__1-2668243-20.md, test_chunk_10__1-26631526-1.md"
12,test_chunk_10__1-2668264-22,md,What party does joel r. poinsett represent?,"According to the provided text, Joel R. Poinsett represents the Jacksonian Party. The text states, ""Joel R. Poinsett | Incordiales | 2010s | Rock | Dec.21,2010 | No | No"".",Jackson Republican,TRUE,"test_chunk_10__1-2668264-22.md, test_chunk_10__1-26631526-1.md, test_chunk_10__1-2668243-8.md"
12,test_chunk_10__1-2668264-22,md,What was the first elected year that featured incumbent andrew r. govan?,"Based on the provided text, Andrew R. Govan was first elected in 1822 (special).",1822,TRUE,"test_chunk_10__1-2668264-22.md, test_chunk_10__1-2668352-14.md, test_chunk_10__1-2668243-20.md"
12,test_chunk_10__1-2668336-17,md,In what district is the incumbent Charles Fisher?,Charles Fisher is the incumbent for North Carolina 10.,North Carolina 10,TRUE,"test_chunk_10__1-2668336-17.md, test_chunk_10__1-26565917-2.md, test_chunk_10__1-26631526-1.md "
12,test_chunk_10__1-2668336-17,md,First elected in 1807 1817 in what district?,Lemuel Sawyer in North Carolina 1,North Carolina 1,TRUE,"test_chunk_10__1-2668336-17.md, test_chunk_10__1-2668336-19.md, test_chunk_10__1-2668243-20.md"
12,test_chunk_10__1-2668336-17,md,The candidates Charles Fisher (DR) 65.1% W. Jones (F) 34.9% is for what incumbent?,The provided context indicates that Charles Fisher is the incumbent for Pennsylvania,Charles Fisher,FALSE,"test_chunk_10__1-2668336-17.md, test_chunk_10__1-2668352-14.md, test_chunk_10__1-2668352-19.md"
12,test_chunk_10__1-2668336-17,md,"In district North Carolina 10, what are the candidates?","In district North Carolina 10, the candidates were Charles Fisher (DR) and W. Jones (F). The election result showed Charles Fisher (DR) receiving 65.1% of the vote, while W. Jones (F) received 34.9%.",Charles Fisher (DR) 65.1% W. Jones (F) 34.9%,TRUE,"test_chunk_10__1-2668336-17.md, test_chunk_10__1-2668264-22.md, test_chunk_10__1-2668336-19.md"
12,test_chunk_10__1-2668336-17,md,Candiates Charles Fisher (DR) 65.1% W. Jones (F) 34.9% had what result?,Charles Fisher (DR) 65.1% W. Jones (F) 34.9% had the result of being re-elected.,	Re-elected,TRUE,"test_chunk_10__1-2668336-17.md, test_chunk_10__1-2668352-14.md, test_chunk_10__1-2668352-19.md"
12,test_chunk_10__1-2668336-17,md,The district North Carolina 10 have what candidates?,"According to the provided text, the candidates for North Carolina 10 were Charles Fisher (DR) with 65.1% and W. Jones (F) with 34.9%.",Charles Fisher (DR) 65.1% W. Jones (F) 34.9%,TRUE,"test_chunk_10__1-2668336-17.md, test_chunk_10__1-2668336-19.md, test_chunk_10__1-2668264-22.md"
12,test_chunk_10__1-26609690-1,md,What is the smallest top 10 figure?,0,0,TRUE,"test_chunk_10__1-26631526-1.md, test_chunk_10__1-26609690-1.md, test_chunk_10__1-26631526-1.md"
12,test_chunk_10__1-26609690-1,md,What is the earliest year on the chart?,2000s,2003,FALSE,"test_chunk_10__1-26631526-1.md, test_chunk_10__1-26631526-1.md, test_chunk_10__1-26631526-1.md"
12,test_chunk_10__1-26609690-1,md,"Which team had $15,785 in winnings?",RB,RB1 Motorsports,FALSE,"test_chunk_10__1-26609690-1.md, test_chunk_10__1-26593762-2.md, test_chunk_10__1-26631526-1.md"
12,test_chunk_10__1-26609690-1,md,How many positions are there for RB1 Motorsports?,"This question cannot be answered from the provided text. The text lists music releases and artists, not job openings.",1,FALSE,"test_chunk_10__1-26609690-1.md,test_chunk_10__1-26631526-1.md, test_chunk_10__1-26631526-1.md"
12,test_chunk_10__1-26609690-1,md,What is the highest number of wins?,The highest number of wins is 34.,0,FALSE,"test_chunk_10__1-26609690-1.md, test_chunk_10__1-26631526-1.md, test_chunk_10__1-26631526-1.md"
12,test_chunk_10__1-26631526-1,md,Name the release date xbox 360 for sea wolf,"Sea Wolf - ""You're A Wolf"" was released on March 14, 2010.","Mar.14,2010",FALSE,"test_chunk_10__1-26631526-1.md, test_chunk_10__1-26631526-1.md, test_chunk_10__1-26631526-1.md"
12,test_chunk_10__1-2668243-20,md,What party was represented by incumbent Richard Coulter?,"According to the provided text, Richard Coulter was a Jacksonian.",Jacksonian,FALSE,"test_chunk_10__1-2668243-20.md, test_chunk_10__1-2668264-22.md, test_chunk_10__1-2668352-14.md"
